Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
CES4A,LTV1,LINC01273,CYR61,,,,,C9orf57,LOC105373191
LOC105375929,COL3A1,UBAC2-AS1,GAS2,,,,,C9orf135,LILRB3
MATN4,CEP152,AQP1,EFCC1,,,,,BCL6B,LURAP1L-AS1
COL14A1,PDCD2,STX11,EPCAM,,,,,FUT6,LOC107985075
LOC105375166,ANXA2,KCTD19,EBI3,,,,,CDH17,LOC101927272
HIST1H2AG,FKBP7,CCHCR1,TDO2,,,,,RCSD1,TNNI1
CXADRP3,DLG1,LAMP3,PALM2,,,,,NOX5,SLC39A5
LONRF2,LOC105374419,BAZ2B,LDLRAD2,,,,,TRG-AS1,PHF1
LEPR,TEX14,CLEC2D,LIPJ,,,,,TBATA,CLEC10A
TNFSF10,ARMCX5,LOC440173,FAM237A,,,,,KCNK5,GLYATL2
FGF7,TNFRSF10A,C14orf105,NMU,,,,,SLC34A1,DQX1
STXBP2,CDH7,RELL1,ERICH5,,,,,C2orf54,LINC01571
CNN1,TDH,FAM167B,GPR61,,,,,OTOA,LOC101929384
KCNS1,CSGALNACT2,CNBD2,MEX3B,,,,,CLEC4E,RNY4
LINC01886,RGS5,NCAPG,IL1RL2,,,,,LINC00927,LOC100132146
EPHB6,TNKS2,EFEMP1,CD33,,,,,JHDM1D-AS1,NKG7
LOC100240734,ZNF521,SMCR5,HTR6,,,,,LOC100129434,CTAGE7P
SLFN11,LOC84843,LINC00637,MAP10,,,,,RNVU1-14,HLA-DQB1
SLC23A3,PPM1J,FAM225A,SLC32A1,,,,,DARS-AS1,LOC401472
C4B,COBLL1,FCGR1A,ALOX12B,,,,,LINC00910,TM6SF2
TSKS,ERCC6L,KTN1-AS1,P2RY12,,,,,FLT3,LINC01443
IQGAP2,TMEM68,MEF2B,LPAR5,,,,,LINC00842,LOC100128108
PCDHGA12,ACER3,P2RY14,GPR34,,,,,PPBPP2,LOC101928651
CNTNAP3B,SPRED2,SLC2A12,CFAP52,,,,,LOC101929237,LOC100507091
BCHE,BRS3,TMEM92,TWIST1,,,,,LOC101929565,IGSF5
LINC01085,BRWD1,LOC101928988,CYBB,,,,,NME8,TEX22
NKD2,SERINC2,CYSLTR2,ZNF623,,,,,FOXL1,LINC01104
MIR143,FMO5,LOC101928035,C4orf26,,,,,LINC00994,LINC01554
LPAL2,LOC440867,FSD2,CD300A,,,,,CACNA1S,GRID2IP
HAAO,ZFP2,LOC644669,CARNS1,,,,,CCDC68,HIST2H3C
SMIM21,DCAF8,ZCWPW2,MAG,,,,,LINC00538,HIST2H3A
COL4A6,LOC401320,GSN-AS1,ELOVL6,,,,,GUSBP1,GAS2L1P2
COL4A1,TTL,RNF217,MYRF,,,,,LOC105374428,MIR4516
SPTA1,FBXL12,LOC101929595,GJB1,,,,,CCL16,UBE2F-SCLY
DEF6,KMT2D,LINC00694,PLLP,,,,,LINC01504,GAL
INMT-MINDY4,TTBK2,SOCS1,TF,,,,,LOC101929723,VEPH1
IRX2,MSLN,PLEKHF1,ETV5,,,,,CHEK2P2,ADAT3
SNORD113-3,TMEM55A,LOC729603,CNP,,,,,F11,HNF4G
PTPRT,PAXBP1-AS1,POM121L9P,AFDN-AS1,,,,,LIMS1,CDK3
P2RY14,YME1L1,TET1,TSPAN15,,,,,UGT3A1,TMEM249
COMP,NSUN4,IRX2,ENPP2,,,,,LOC105378138,SHBG
TRIM46,ANXA2P1,VRK2,HSPA2,,,,,TRPM6,SRRM5
PLCE1-AS1,BLZF1,MUC20,PLP1,,,,,LOC105377448,IL2RG
PIP5KL1,LOC101927402,TCAP,MOG,,,,,BMPER,CFAP100
TMOD4,NEK10,SLC51B,LINC01586,,,,,LINC01344,CYP2D6
C10orf53,NEK2,LOC105378049,KLK6,,,,,OVOL2,ZC3H12A
KIAA1324L,C9orf72,SLFNL1,PLEKHG3,,,,,XPNPEP2,LOC100507487
NDUFA4L2,LINC00698,TNFRSF10D,RNASE1,,,,,FLJ31356,ST6GALNAC2
PLPPR5,ZNF404,PABPC3,LINC00639,,,,,LOC101929634,CYSRT1
PGR,GTPBP10,LOC100422737,LOC102723360,,,,,CCDC54,SSC4D
EVI2B,CLIP1-AS1,SIRPB1,TMEM125,,,,,LOC101929268,LOC105375483
SLCO2A1,SOX9,CCDC116,GPR37,,,,,LOC100128554,DCDC2B
RTL1,KREMEN1,LIX1L-AS1,PLXNB3,,,,,TSPAN16,TNK1
GPR146,ZBED2,LOC642929,ZDHHC20,,,,,FRMD1,NGFR
SLC12A1,PTGIS,LINC02081,CNTN2,,,,,LOC101928509,DACT2
FAM105A,CNTNAP3,MIR548I1,TMEM144,,,,,SH3TC2,SULT1A2
GOLGA8O,C11orf54,LYG1,PRR18,,,,,PCED1B-AS1,TMEM30B
MOV10L1,PGLYRP2,PM20D1,RIMBP3,,,,,APBB1IP,LOC255187
SERPINB11,ATP5SL,NFKB2,LDB3,,,,,TMEM211,NPSR1-AS1
ARHGEF35,PCDHGA8,MUC3A,FA2H,,,,,ASZ1,H19
FRG2C,TSEN15,CCDC27,PPP1R14A,,,,,ARRDC5,CATSPERE
ABCD2,PTGER3,LINC01265,UGT8,,,,,LOC101927379,ADAMTS7
LINC02102,LOC284926,SLC34A2,COL9A2,,,,,ART1,RHOXF1-AS1
PSMB9,RNF141,KRT26,ELOVL1,,,,,FGR,MUC1
MEDAG,PPP1R12A,CAV3,TMEM63A,,,,,FLJ43879,LOC105371485
SLC7A14,PRKCH,ATE1-AS1,CAPN3,,,,,TBX10,ASPRV1
IL16,CFAP97,PLA1A,ZNF536,,,,,LOC285556,LOC107986266
LINC00200,C3orf38,TAP1,CDC42EP1,,,,,LOC400794,MMP25
ROR1-AS1,DNAL1,N4BP2L2-IT2,PLEKHH1,,,,,SIX1,TMEM88B
TNFRSF11A,EXTL2,C17orf105,GPIHBP1,,,,,ANKRD18DP,FBXL8
MIR656,ZNF117,LOC374443,GJC2,,,,,RUNX3,TARID
CT62,SEC23IP,CD3G,CNDP1,,,,,LOC101928583,RARRES1
SH3TC1,ZNF75D,PCAT1,MAL,,,,,PNLIPRP1,IZUMO1
MLN,MALAT1,FFAR1,LBH,,,,,UCA1,HIST2H4A
EPN3,ITGB1BP1,NCF1,ERBB3,,,,,ZNF385B,PLEKHG4
TRIM47,LOC100506691,GOLGA6L9,SOX10,,,,,ERN2,LOC100130370
ARHGDIB,VRK3,GP6,OPALIN,,,,,C4orf32,DNAH10
LINC01915,STRBP,CLDN9,TTR,,,,,RBP3,PMF1-BGLAP
C20orf141,PTCH1,LOC105374524,ADI1,,,,,CIITA,DENND1C
HTR2B,LNPK,FAM30A,ANLN,,,,,KYNU,LPAR2
RASGRP1,KIF5B,TGFB2-OT1,ZDHHC9,,,,,OR6B3,THEM5
C9orf50,ACSL1,MAPT-AS1,RBP7,,,,,TMEM30CP,CHST5
ZNF467,MSH6,VNN2,C21orf91,,,,,CCDC141,DUSP10
ANXA10,CYP4V2,LOC100506497,RELN,,,,,C10orf82,ARSE
LOXL3,BMP6,ZNF552,EVI2A,,,,,FAM170A,DEF6
PHF1,SLC5A3,LOC105371730,PCSK6,,,,,CCL5,TGIF2
NXPH3,FNTB,GDNF,SLC27A6,,,,,TBX18,ADAMTS14
SCN4B,NSUN7,PCOLCE-AS1,GIMAP1-GIMAP5,,,,,SCNN1A,C1orf56
MEG8,ZCCHC5,CUZD1,DBNDD2,,,,,MFNG,PLK1
GPSM3,RBBP6,ENPEP,RGS8,,,,,PLCB2,ARHGEF15
POSTN,ZNF738,LINC02188,ATP2A3,,,,,LOC101929148,COL4A3
STRA6,PPP2R2D,DNAJC27-AS1,LOC100130370,,,,,CD79B,SYS1-DBNDD2
FAM81B,LRRN2,MOBP,CLDN11,,,,,IL16,PLEKHM1
DMKN,GMCL1,ANPEP,CDK3,,,,,ADGRD1,ITIH4
LOC101929839,SEPT5-GP1BB,LINC01549,LOC105371485,,,,,XG,PLEKHH3
LIPM,IGIP,RHOXF1,DENND1C,,,,,GGT5,GAL3ST1
MEIS2,FCGR3A,CNGA1,LOC100506725,,,,,SERPINA11,GPIHBP1
CXCL2,TOB1,LOC100130264,FAM222A,,,,,PRSS1,MIR219A2
HGD,KCNK5,LOC100129917,MDGA1,,,,,FBXO40,TMEM125
CCDC184,CAMK1D,ACOXL,SLC44A1,,,,,KCNIP4-IT1,CASQ2
OR2A42,N4BP2L1,BCORP1,TMEM206,,,,,C10orf62,ZCCHC18
GNGT2,DHRS9,ADORA2A-AS1,BOK,,,,,LOC107986164,CYB5R2
LINC01168,CDK5R1,TMEM99,TTYH2,,,,,NMUR2,TMEM235
B3GALT4,IMPA1,C2-AS1,HAPLN2,,,,,LOC101927660,KNTC1
CFI,HHEX,LINC00664,COL4A5,,,,,C8B,MRC2
HNRNPA1P33,USP25,MIR519A2,HAGLR,,,,,G6PC,BRWD3
PDXDC1,HRASLS,STPG2,WNK4,,,,,LOC101928449,CD82
HLA-DOB,TBCD,HSP90B2P,TMEM235,,,,,AMY1A,CMTM5
TTLL6,RAPGEF6,P4HA3-AS1,SHBG,,,,,LOC105374896,LRP2
LINC02323,RBM14,CCDC129,DOCK10,,,,,LUZP4,CDC42EP1
DIRAS2,SEPSECS,GINS1,C8orf44-SGK3,,,,,OR56B4,CREB5
LINC01152,SLC22A15,GDPD3,SGK2,,,,,IGF2-AS,MYO1D
CSMD2,TTC12,GRAMD1C,SLC45A3,,,,,KLHDC7A,NKX6-2
KLK1,PCDH7,TEX14,GINS3,,,,,CES1P1,LDB3
NPY1R,SRSF3,LGR5,CHADL,,,,,HNF1B,VWA8
KCNA4,CLK1,DCST2,GREM1,,,,,DAO,KLK6
LIN7A,GCFC2,TRPM1,NR0B1,,,,,PTGER4P2-CDK2AP2P2,FA2H
ANPEP,FLT3,ATP2A1,C1QTNF3-AMACR,,,,,C12orf50,VWA1
MRVI1-AS1,SLAMF1,CD72,FOLH1,,,,,CCL18,ERBB3
LYVE1,CSH1,SMC1B,CMTM5,,,,,SPACA3,TTYH1
KLF14,CD163,WIF1,CERCAM,,,,,SLC12A3,OPALIN
HPSE,RBM47,C8orf44-SGK3,FOXO6,,,,,ZP2,ELOVL6
FGL2,FAM135A,LINC00689,GPR3,,,,,LOC643711,DGKK
CHST1,PDE1A,LINC01858,TMSB4Y,,,,,PRSS16,ACY3
TNC,JMJD1C,CA1,GPANK1,,,,,LINC00052,STAC
ERAP2,ATAD2B,GS1-279B7.1,LINC00940,,,,,AGBL2,LOC643623
CHI3L2,SNRPN,PSG6,RFPL1,,,,,FCMR,EDN3
AHR,SGPP1,LOC100507291,PRR5L,,,,,OR52B2,CRYGN
RERG,LVRN,HLA-DQA1,SLC31A2,,,,,LOC101929106,NXF2
HIST2H4A,TMEM231,KANSL1-AS1,LPCAT2,,,,,LOC283299,CCDC188
COL4A2,IFNAR1,SETD9,RTKN,,,,,TUBA4B,HS3ST4
SUCNR1,EXPH5,LOC100132215,LOC100128108,,,,,ANXA8,FLJ16779
GUCY1A3,ZNF547,MYL10,DMRT2,,,,,LINC01500,SEMA3G
ITM2A,PAK2,BCL2A1,LINC01978,,,,,PLA2G2A,ISM1
LINC01050,CACNB2,BAG6,PCDHB8,,,,,CD80,PAQR6
OAS2,NECAB1,TTN,SLC5A11,,,,,LOC286178,PRPH
C2,TM4SF1,CEP295,ARHGEF15,,,,,C7,ARSI
ADH1A,SLC16A4,CACNB4,LRRC63,,,,,ARSG,COL3A1
CYSLTR1,SOCS5,YBX3,RTN4IP1,,,,,C7orf72,LTC4S
MYOM2,SKA1,BRD2,MIR219A2,,,,,MMP20,GOLGA6A
ADGRL4,TAS2R14,TEPP,LOC255187,,,,,LOC105373958,NGB
ERBB4,GFRA4,JAK2,S1PR5,,,,,LINC00564,GRB7
C3orf70,ZNF639,SALL4,BMX,,,,,USP17L22,GPR3
LINC00484,FBLN5,TNFRSF12A,NINJ2,,,,,PRAMENP,SLC7A3
LINC01637,TMEM110,FOXD1,LINC00535,,,,,LINC01179,KDM4E
SNAI3,RUNDC3B,PRDM6,LINC00609,,,,,UGDH-AS1,SNORD114-21
SORCS3,NDUFAF6,TCAM1P,UBE2F-SCLY,,,,,RBMY2FP,ARHGAP36
GPR176,WWTR1,ADAMTS9-AS2,TEX22,,,,,DLL4,MBP
PHEX,EPT1,PRG4,ERMN,,,,,TTLL8,SOX18
GRIN2A,CLEC7A,HLA-DPA1,HRNR,,,,,CD163L1,KCNE5
ITGA9,ANKRD10,DUT,KIF25,,,,,MROH9,CYP26C1
IFI44L,CBLL1,VARS,NIPAL4,,,,,MOSPD2,ARHGEF26-AS1
TULP2,GLB1L,CD160,SYCE1L,,,,,ABHD16A,COL6A5
C7orf61,C17orf64,RGSL1,VIP,,,,,C2orf91,FOXS1
ABI3,ARAF,MPZL2,MFSD9,,,,,CYP8B1,LINC01044
STEAP1B,SRSF4,SCARA5,HOXD1,,,,,LINC01411,PADI1
CDHR4,CDC14A,KLF5,SMIM5,,,,,LOC101929116,LHX9
MROH2A,ERP44,MYH6,TMEM88B,,,,,LOC642366,TVP23C-CDRT4
ST6GAL2,IDS,C14orf37,GMNC,,,,,PAX1,LINC00606
CP,QKI,PBX2,TAF1L,,,,,CASC11,GOLGA2P9
ST3GAL6-AS1,TTTY4,TPST1,RNF39,,,,,LOC152225,LEMD1
GPR37,FKBP14,SLC26A2,PRR34,,,,,GOLGA6L7P,SNORD113-4
ELFN1,LINC00894,SHANK3,GPR62,,,,,DLX3,FAM72C
DACH1,PRPF4B,METTL7B,KCNH8,,,,,LOC101928174,HDC
FOXF1,ATP8B4,ST8SIA6-AS1,MYOCD,,,,,LINC00506,FEZF2
GIMAP2,IKZF1,CD44,HCRTR1,,,,,CD209,SNORD60
TBX18-AS1,CDC25C,POLQ,FOXL2,,,,,PKP3,KBTBD11-OT1
GPC5-AS1,CPXCR1,DDX19A,ISG20,,,,,CD40LG,C22orf42
SERTAD4,MBTPS2,MACC1,DEF6,,,,,FMR1-AS1,DUSP2
LINC00398,LINC01133,SLPI,LINC01103,,,,,CABP7,LOC105374952
LOC105376382,CLMP,TNFRSF11B,RAET1E-AS1,,,,,HTR2C,HES5
DDX53,CC2D1A,FOXO1,LINC01166,,,,,LOC100507144,LOC644838
LOC101929268,IMPG2,THBD,CD8B,,,,,ACTR3C,LOC102723502
SCN7A,SLC35G1,ESPL1,KNTC1,,,,,LOC255187,LOC100128386
CLUL1,SAV1,ADAMTS9-AS1,TMEM139,,,,,CEACAM7,CYP19A1
LGI2,SKAP2,ROS1,REM1,,,,,PRDM6,LOC101927815
ERICH2,KIAA1033,RUFY4,PCDH11X,,,,,SOX30,RPL23AP87
GOLGA6L9,CSE1L,LCN10,WDR64,,,,,CTAGE15,OR1L6
CLDN7,POLR2M,GRHL2,P2RY13,,,,,SLC5A10,NTS
PRSS35,EXOC5,BNC2,CA14,,,,,SDR42E1,HLA-DOA
GBP6,OIP5,DISP1,SFRP5,,,,,LOC100129345,STPG3
CLCNKA,ZNF569,DNAJC25-GNG10,SH3TC2,,,,,C4BPA,MIR873
EVA1C,ARHGAP35,PARD3B,HIST2H4A,,,,,PRKACG,NTRK1
C1orf158,AKIRIN1,ATP8B2,PRIMA1,,,,,HTR3D,PDXDC1
ZNF804A,MMP25-AS1,SLC47A1,TARID,,,,,LINC01470,NSF
FAM162B,ARHGAP19,TFPI2,SLC2A9,,,,,LOC646652,PDK2
C8orf74,SPTBN4,LVRN,LOC101929162,,,,,LINC01257,MTRNR2L6
LRRIQ4,GPR180,PLA2R1,HSD17B3,,,,,MSC-AS1,CD99
LOC105369921,FOS,SPOCD1,LINC02123,,,,,CERS3,OTOF
RSPO2,ZDHHC17,GBP3,TAPBP,,,,,LOC388813,FBXO31
SSTR1,CNTLN,ITPKC,LOC101928035,,,,,LINC01397,CDC20
PTGDR2,LY6G6E,TIMP1,LOC100131347,,,,,LOC100128714,FAM189A1
CD70,MSRB3,GBP1,ARC,,,,,KCNK17,HEPACAM
MIR199A1,PFKFB2,TUBA1C,LOC644090,,,,,PYHIN1,OLIG2
ADGRG4,CSNK1E,CEBPD,LOC101927420,,,,,KRT26,CPLX1
PDGFRL,LOC541473,LOC157273,CLCA4,,,,,LOC101927560,ZNF710-AS1
PPFIA2,KCTD17,ALOX12P2,UFSP1,,,,,HLA-DQB2,HSPA2
CYP2W1,ATAD2,EPHA2,PTPRH,,,,,ZNF503-AS1,5-Sep
OTX1,NEXN,CERS3,ZNF628,,,,,PAH,KRT222
SERPINA11,SSX2B,GTF2H2,LRP2,,,,,LOC105374516,LAMP5
CA11,PKDCC,TM4SF1,HMX1,,,,,SLC22A18AS,SNORD115-20
MIR541,LINC01268,LOC100506368,PCAT7,,,,,IRS4,C16orf58
EREG,TMTC3,LINC00861,LINC00877,,,,,GYPE,RSPO4
SEMA5B,FLJ31945,PRR11,AKAIN1,,,,,POF1B,CALM2
LAMA1,MBNL1-AS1,C8orf88,TRPM1,,,,,TCL6,SLC18A3
GRM5-AS1,PPIF,GBP2,ADPRH,,,,,LINC00543,SYNGAP1
MIR410,MTAP,GYPE,OPN4,,,,,LOC729950,IDH2
TSPAN8,ANKRD12,ZNF678,CARD11,,,,,SKAP1,ZNF48
TEX36,BTN1A1,CRISPLD2,TYMS,,,,,LOC729083,ABCF1
LOC105373805,ECT2,FLJ31104,RGS10,,,,,PNLDC1,MAG
HLA-B,BFSP2-AS1,FHAD1,INSC,,,,,CLEC4M,APOM
SENCR,ARL10,SFRP2,GUCY2C,,,,,PSG2,SAMD10
FAM167B,BSPRY,OTUD3,CGA,,,,,PRG4,WFS1
CLGN,MALSU1,SPP2,USH1C,,,,,GOLGA6L22,CRYM
MYOC,CEP85,CDCA4,TP63,,,,,IL23R,CARNS1
MARVELD2,DICER1,CXCL1,TNFAIP3,,,,,ADORA3,WDR81
MALL,SETD4,SIX1,KCNK15,,,,,ZNF705G,KANSL1
COLEC12,FANCM,SNHG3,AGTR2,,,,,PAX9,REEP6
VWA7,CARS2,NDST2,RIPK3,,,,,FAM153C,FAM138E
TNS4,BICC1,HCG25,CFH,,,,,LOC101927513,GRM4
DAZL,TFG,BCL2L11,GLIPR1,,,,,ARL14EPL,KLF13
KCNJ9,RPE,KCNMB3,ELN,,,,,RASL12,MCCC2
MYADML2,C21orf62,NFKBIZ,RGPD2,,,,,TCL1B,4-Mar
CYP7B1,ADD3-AS1,NABP1,MEDAG,,,,,LOC102467213,RNF26
ITGA2,FOXK2,LOC285766,CSGALNACT1,,,,,TRIM54,HBA2
TMEM74,SSBP2,ZNF555,PEG3,,,,,SLC7A4,MKRN2OS
HOXD10,PALLD,EDA,MXRA5,,,,,GRHL2,TMEM173
LINC00449,NRF1,APCDD1L,FMOD,,,,,LOC100506085,SYT5
ANGPTL7,TRIQK,HSPA1B,SLC17A3,,,,,GOLGA8J,HBA1
LOC101927815,PSMG4,ACTC1,PAX9,,,,,USP17L2,GAL3ST3
DNER,SAMHD1,GADL1,PITX1,,,,,CEACAM3,CORT
LOC101928436,OGT,CYP1B1,SRGN,,,,,LINC00707,NPIPA8
PSMB8-AS1,MAPK8,IQCH,PAPPA,,,,,TMEM40,TMEM265
OR2S2,LOC645513,RSPH10B2,TRIM38,,,,,OR4F3,PGAM2
KANK3,PRMT6,GPR182,SSC5D,,,,,SEL1L2,SKIV2L
FBN2,DST,CDK2,ANGPTL6,,,,,BOD1L2,GPR17
HRH2,MAP2K5,VAV3,MPZL2,,,,,LINC00922,PAQR4
C2CD4D,SPATA9,SLC7A2,ITGA8,,,,,TSHB,LPCAT4
KL,TFRC,APOLD1,FGG,,,,,LOC101927411,SLC6A1
COL11A2,MFSD14C,MAFF,ADCY4,,,,,MIR548I2,GOLGA6L10
PDZRN4,HGF,ANXA2,TMEM100,,,,,PASD1,AGPAT1
COX4I2,LOC101929181,LINC02289,HSPB6,,,,,CYP17A1,PEMT
CYP19A1,NPHP3,TRIM74,LOXL4,,,,,RAD21L1,PRKCG
LOC105369739,SCD5,GPR6,ITPR1,,,,,CD300LG,SEZ6
VSIG2,FAM64A,MLPH,HTRA3,,,,,PATE1,SLC25A23
MIR1273D,SCN9A,S100A10,LOC101927815,,,,,TCF15,MAPT-IT1
LINC00570,ZNF616,LEPR,KIF26A,,,,,CNGA1,KPRP
CERS4,ZNF227,GPC5-AS1,ITIH5,,,,,TINAG,PPT2-EGFL8
PLEKHG4B,LINC01214,PDGFRL,DMBT1,,,,,OVCH2,KIRREL3
MAPK4,C12orf80,TEX41,HAS2,,,,,ARL14,TTYH2
CACNA1G,KMT2C,IFITM2,CSTA,,,,,LOC105371506,AMPD2
KANSL1,C1orf43,GCNA,ITM2A,,,,,LOC101059948,GGT3P
LINC01142,RASIP1,FRRS1,PAPPA2,,,,,DDX43,LIPE
ACACA,FAAP20,EEF1AKMT3,XG,,,,,SLC5A11,LSR
CCL20,BARD1,FOXD2,CYP19A1,,,,,RSPO1,CHI3L2
TNFSF8,SLC25A36,LOXL1-AS1,NRK,,,,,LINC01484,LINC00634
LINC00622,PRELP,ANKDD1B,TBX2,,,,,LOC101928098,TAX1BP3
LOC101927762,HAVCR2,EPHA1-AS1,OTOG,,,,,LINC01037,ADORA1
MRGPRF-AS1,RFX3,ZFP36,ZNF469,,,,,OAS2,GNG3
MRGPRX3,PITPNC1,ZBTB9,PRG4,,,,,KCNG3,SORCS2
ASPG,MED23,SLCO1C1,SMR3B,,,,,LOC100505817,PNKD
FABP4,ELMOD2,IFI6,VEGFD,,,,,LOC646588,PRR18
MUC20,GGNBP2,ITPRIP,PGM5-AS1,,,,,LINC00305,PLLP
ABCC6P1,SLCO1A2,SUN3,LGALS1,,,,,MIR548I1,ADARB2
IFNA1,DAND5,SMCO2,TBX2-AS1,,,,,KMO,HPDL
SLC16A11,PIR,MS4A2,TNFSF11,,,,,CARD11,CHAD
RYR2,LOC101929774,SCUBE1,PTGER2,,,,,NMUR1,NAT6
CCDC144NL,SERPINB8,C11orf21,HPSE2,,,,,HSD3B2,SPSB3
FEZF1-AS1,CDK6,TNNI3,PGF,,,,,LINC00485,IL4R
ATE1-AS1,UBE2Q1,MBNL3,CPA6,,,,,GPAT2,S1PR1
C2-AS1,CRYZL1,LINC00299,COL6A6,,,,,TNFSF15,NOS1
PRAMENP,PLAGL1,EXO1,LOC400655,,,,,TAS2R60,BSPRY
DCLK3,LINC01146,FAM238A,CAVIN2,,,,,TMEM114,GPR62
MIR2052HG,PMCH,DSP,CAPG,,,,,CD28,DCXR
KIF26B,MMP8,LINC02072,COL8A2,,,,,LINC00210,DMRTC1B
LRRC36,BBX,IL5,PAMR1,,,,,LOC100422737,CDK2AP2
CLIC5,FAM210A,DTL,GPRC5A,,,,,CDH1,ACTL6B
ANOS1,CHM,LOC399715,CEBPD,,,,,TIE1,PYDC1
MIR3689B,POMP,PLEKHA4,HAPLN3,,,,,PXT1,GSN
LINC00599,ST6GALNAC3,CLNK,C10orf82,,,,,UBE2E2-AS1,PADI2
SYCE1,SLC26A4,ANKS4B,CYP2J2,,,,,HDGFL1,LINC01785
RNF144A,NBN,CD177,INSRR,,,,,LINC00536,MMP28
CPVL,GATA2-AS1,STC1,CGNL1,,,,,LINC01297,DAXX
CYP21A1P,MOCS2,RPS18,FAM198B,,,,,CHRNB3,LIMS2
PTPRN2,OSGIN2,LENG8-AS1,CSPG4,,,,,LINC01584,XRCC1
ALOXE3,EBF2,LOC100506302,OR2A20P,,,,,TSPAN8,SPTB
AJAP1,RNF144A,SERPINE1,TNFRSF10D,,,,,C8orf37-AS1,AFAP1
FGF16,TMEM43,LOC102724428,CLCN5,,,,,ZAP70,DCAKD
HSPA12B,PON2,STEAP4,C19orf38,,,,,FANCD2OS,RTL8C
LOC105370906,SMOX,ISG15,BDKRB2,,,,,FAM3B,SUSD2
ZNF341-AS1,PPME1,RGPD5,TIMP3,,,,,BPIFB1,HSPB6
LOC440084,VEGFA,FAM9C,COL9A3,,,,,FUT3,KATNB1
NAV2-AS5,MED20,TLR2,SLC5A7,,,,,SP100,MMP9
NDST3,ESCO1,ATAT1,TRABD2B,,,,,RNU2-1,TBL1Y
OAS1,SENP8,TINAG,ASB9,,,,,LINC01491,SIGMAR1
CD36,SIK3,LNCSRLR,KCNE4,,,,,LINC00443,SH3RF2
EMCN,GOSR1,PARP9,DLC1,,,,,IL19,CAMKV
MYOT,AFAP1L2,LOC105371286,ITGA11,,,,,SIRPB2,NLRX1
LOC100507657,CELF4,LINC01606,CYS1,,,,,LINC01099,FTLP10
PRR9,LOC105377938,GOLGA8G,SENCR,,,,,LOC100128006,NPPB
C9,SMCR8,ITGBL1,ARHGEF5,,,,,FLJ42102,EMILIN3
CCDC155,STK24-AS1,CENPE,ALDH1A1,,,,,CSF3R,CCDC17
THSD7A,ABHD17C,NAALADL2,C2orf40,,,,,KLF4,ELFN1
DCC,GPR75,SCIMP,TMCO4,,,,,LOC100506688,EGR4
HIST1H2BG,ZMYND11,GJB2,PROKR1,,,,,DISC1-IT1,GSTM1
PAPPA2,10-Sep,VIM,FLI1,,,,,ALPK1,GJB1
FAM26D,CLUAP1,RALGAPA1P1,ANOS1,,,,,RBMS3,C4A
GYPB,FAM65A,PSORS1C1,MMP2,,,,,TESPA1,HLA-E
RBP4,FAM171B,OSGIN1,LOC100507406,,,,,OSR2,DENND6B
MYCT1,LAMA5,ZNF547,INHBA,,,,,LOC101929420,NRP2
TMPRSS11A,LINC00648,LINC01146,SLCO4C1,,,,,LINC01235,MYBBP1A
THEMIS,OLFM1,TPRG1,RCN3,,,,,PIK3R6,DOC2B
HAR1B,FAM153B,LILRA6,TMEM72,,,,,ELN,GPR37L1
EPHA5-AS1,NUDCD2,DRC1,RAMP1,,,,,C12orf56,LGI3
LOC105370757,TBC1D8,EMP1,TPD52L1,,,,,LOC101928858,RHOB
TMEM200C,AXL,ABHD16A,LAYN,,,,,TMEM202,GTPBP1
RGS22,UHRF1BP1L,SLX1B,EDAR,,,,,CTAGE10P,SLC44A2
LINC00540,ADAMTS17,CFAP44,KLHDC7B,,,,,HPVC1,LOC150051
SYN2,NF1,MACROD2-AS1,LOXL2,,,,,ROCK1P1,OPN4
MIR4313,BAZ1B,C8orf34-AS1,ADGRD1,,,,,LINC00921,TACR1
LOC101928516,C11orf45,TUBA3D,P4HA2,,,,,OR9Q1,RTKN
HSD3B1,INSIG2,PRELID2,SH2D4A,,,,,CXCL17,EFHD1
IRF7,SOGA1,LOC100133286,CMYA5,,,,,TPRG1,ELOVL1
FYB,TBC1D4,XPNPEP3,MIR199A2,,,,,SAA4,PNMAL2
CYP2D7,MAP4K3,SFN,STEAP1B,,,,,CD164L2,PRELP
SNORA2C,TLK1,TBX15,ACVRL1,,,,,ERRFI1,CACNB1
CADPS,TMLHE,KCNN4,IL6ST,,,,,MIR4477A,LRTM2
HNF4G,TPM3,WWTR1-AS1,SEMA5A,,,,,FMN1,RAP1GAP
LINC00982,TMEM106B,TXNRD3,CLCA2,,,,,TCP10,ZFHX3
GPC5,KCNH5,RBM27,SLC16A6,,,,,ZBED2,ZNF488
BDKRB2,CLUHP3,LOC102725254,ACAN,,,,,LOC105375903,ATP6V1B1
SMLR1,CCP110,CASP4,BMP4,,,,,TLR7,DACT1
DSG2,ACVRL1,NMUR2,CSRP1,,,,,TTC22,SH2D5
CYP2D6,PLK3,C19orf33,NET1,,,,,TMPRSS15,LPA
KNDC1,UCHL1,LOC100288123,STEAP4,,,,,OR1Q1,SPATC1L
KIF17,RCAN1,TMEM265,CYSLTR2,,,,,SLC9A9-AS1,GGT5
TRPC3,ARL6,AGTR1,KCNIP3,,,,,CMKLR1,GALNT16
LINC00710,FLJ35816,CES1,OAF,,,,,GLP2R,ARL8A
